人	人入
風田心	颸飔
犭王鳥	鵟𫛭
犭木𠂊貝	獺獭
月牛儿貝	臢臜
犭言犬鳥	鸑𬸚
魚士䒑口	鱚𬶮
魚西示	鰾鳔
魚木四	鰊𬶠
𠂊厂卩頁	頠𬱟
卯田鳥	鶹鹠
氏丶鳥	鴟鸱
魚一屮	魨鲀
魚口一丂	鰐鳄
魚日一止	鯷鳀
魚曲口䒑	鱧鳢
魚𠂉匕	鮓鲊
魚䏑又示	鰶𬶭
魚𠂊厂卩	鮠𬶏
魚召儿	鮸𩾃
匕水頁	潁颍
匕火頁	熲颎
魚亠口小	鯨鲸
魚亠日一	鱣鳣
魚亠八乂	鮫鲛
魚广尹⺍	鱇𩾌
魚禾禾彐	鰜鳒
魚儿⺍	鮡𬶐
魚宀匕	鮀𬶍
魚宀女	鮟𩽾
魚龴用	鯒鲬
勹口鳥	鴝鸲
魚习习白	鰼鳛
烏阝	鄔邬
魚厶大彡	鯵鲹
魚巛田	鯔鲻
魚巛乂巛	鱲𫚭
鳥衣	裊袅
言干	訐讦
言一止	証证
言廿口丰	謹谨
言艹日大	謨谟
言一厶心	譓𬤝
言戊一口	諴𫍯
亠圍一鳥	鸇鹯
言口一丂	諤谔
亠口尤鳥	鷲鹫
亠口甲一	嚲亸
亠口子鳥	鶉鹑
言日一止	諟𬤊
言日勹亡	謁谒
言𠂉匕	詐诈
言牛儿	詵诜
言𠂉乙	訖讫
言禾女	諉诿
言身寸	謝谢
言臼人	諛谀
言亻匕	訛讹
言臼丨又	謏𫍲
文戈止貝	贇赟
亠八乂鳥	鵁䴔
言亼㇕心	諗谂
言八厶	訟讼
言爪𠂇又	諼谖
言𠂊八言	譫谵
言亠口子	諄谆
言亠人十	誶谇
言亠十口	謫谪
言門木四	讕谰
立日工貝	贛赣贑
言立立日	譜谱
立日貝心	戇戆
言户冊	諞谝
言弋八皿	謐谧
言予八口	譎谲
方𠂉矢鳥	鷟𬸦
言习人彡	謬谬
言习习	詡诩
言屮凵	詘诎
疒十廾頁	癲癫
广彐人貝	賡赓
广彐人鳥	鶊鹒
广金欠	廞𫷷
广廿火鳥	鷓鹧
門耂	闍阇
門西土	闉𬮱
門目犬	闃阒
門𠂇厶	閎闳
門口口	閭闾
門十目廾	闐阗
疒貝貝女	癭瘿
門自木	闑𫔶
門方人冫	閼阏
門夂口	閣阁
門氏日	閽阍
門文	閔闵
門丶艮	閬阆
門日习习	闒阘
門土厶皿	闔阖
門䒑屮欠	闕阙
䒑八皿鳥	鷁鹢
禾禾彐鳥	鶼鹣
䒑幺幺鳥	鶿鹚
心中一貝	憒愦
心貝刂	惻恻
氵十艹貝	濆𣸣
氵木𠂊貝	瀨濑
氵止癶頁	瀕濒
氵中一貝	潰溃
氵日小頁	灝灏
氵小丿魚	鯊鲨
⺍人月鳥	鶺鹡
儿⺍頁	頫𫖯
氵言午	滸浒
氵予頁	澦滪
土冖豕	塚塚
宀甘八鳥	鶱𬸣
穴鳥	窵窎
衤門木四	襴襕
衤之車	褳裢
衤冖車	褌裈
冖車皮	皸皲
冖車阝	鄆郓
冖儿鳥	鴆鸩
門木鳥	鷴鹇
馬西示	驃骠
馬雨木目	驦骦
馬不一	駓𬳵
馬厂白小	騵𫘪
馬日一止	騠𫘨
馬日	馹驲
尹口頁	頵𫖳
尸貝	屓屃
馬牛儿	駪𬳽
尸鳥	鳲鸤
尸口辛鳥	鸊鷿䴙
馬亻寸	駙驸
馬亼木	駼𬳿
艮旡魚	鱀𬶨
馬爪幺大	騱𫘬
馬勹午凵	騊𫘦
又又木頁	顙颡
予丿口鳥	鷸鹬
予丿攵鳥	鶩鹜
予丿攵馬	騖骛
馬米夕㐄	驎𬴊
馬癶一大	騤骙
馬㇕大	駃𫘝
馬彐水	騄𫘧
馬又丶虫	騷骚
馬彐冖又	駸骎
阝𠂇月土	堕墮
阝止癶馬	騭骘
阝中一貝	隤𬯎
阝口貝	隕陨
习习彡鳥	鷚鹨
习习冖車	翬翚
糸一业日	縉缙
糸一日乂	綆绠
糸士口頁	纈缬
糸十目廾	縝缜
糸西示	縹缥
糸雨而	繻𦈡
糸大丁口	綺绮
糸一日小	繚缭
糸犬㇕	紱绂
糸𠂇厶	紘纮
糸戈𠂇	絨绒
車糸糸口	轡辔
糸口口木	繰缲
糸之一㠯	繾缱
糸申	紳绅
糸日匕匕	緄绲
糸田心	緦缌
糸四口衤	繯缳
糸目小丿	緲缈
糸四火土	纆𬙊
糸千二火	纁𫄸
女爪𠂇又	媛嫒
糸廴丿止	綖𫄧
女又馬	駑驽
糸𠂉乙	紇纥
糸之丿㠯	縋缒
糸亻コ矢	緱缑
糸乂𠂇巾	絺𫄨
糸八人口	綌绤
糸爪冖又	綬绶
糸勹午凵	綯绹
糸夂㐄	絳绛
