的	白勹丶
搭	扌艹亼口
鳳	几一鳥
陰	阝亼㇕二厶
薄	艹氵甫寸
涼	氵亠口小
胃	田月
賴	木口刀貝
堆	土隹
赴	走卜
載	十戈車
孟	子皿
抵	扌氏一
彩	爪木彡
甚	甘匚儿
厄	厂卩
粗	米且
傑	亻夕㐄木
慶	鹿㇕心夂
緣	糸彑豕
駐	馬丶王
申	申
衛	行㐄口㐄
訓	言川
念	亼㇕心
惹	艹𠂇口心
帳	巾長
逃	之儿⺍
嘉	士口䒑力口
納	糸冂人
升	丿廾
倉	人户口
休	亻木
症	疒一止
斤	斤
功	工力
浪	氵丶艮
泰	丰水
忠	中心
梁	氵刀八木
吸	口𠂊又
貝	貝
跨	足大丂一
森	木木木
卷	半卩
井	二刂
針	金十
蛇	虫宀匕
寺	土寸
購	貝甘冂土
導	之八頁寸
飲	食欠
噴	口十十十貝
虛	虎丘
優	亻一白冖心夂
埋	土田土
略	田夂口
掃	扌彐冖巾
目	目
蒙	艹冖一豕
託	言丿七
托	扌丿七
巧	工丂
淡	氵火火
拜	手一丰
冬	夂冫
懷	心衣四水
池	氵也
凱	山一口䒑几
鐘	金立田土
愁	禾火心
薩	艹阝立丿生
揚	扌日一勿
勇	龴用力
財	貝十丿
鍊	金木四
終	糸夂冫
質	斤斤貝
泥	氵尸匕
昏	氏日
遇	之日冂厶
喬	丿大口冂口
欄	木門木日
鍋	金咼
巨	匚コ
儀	亻羊手戈
磨	广木木石
呼	口爪丁
賭	貝耂
液	氵亠亻夂丶
泉	白水
嫁	女宀豕
捲	扌半卩
豆	一口䒑
頓	丿屮頁
旺	日王
攻	工攵
祥	示羊
委	禾女
佐	亻𠂇工
臨	臣𠂉口口口
隔	阝一口冂八丁
溝	氵甘冂土
碗	石宀夕卩
賠	貝立口
吻	口勿
健	亻廴彐キ
速	之木口
失	手丶
雄	𠂇厶隹
胸	月勹乂凵
暴	日艹廾水
湊	氵丰一大
陣	阝車
識	言立日戈
娃	女土土
唯	口隹
漏	氵尸雨
拔	扌犬丿
洛	氵夂口
探	扌冖儿木
郎	丶艮阝
珠	王𠂉木
尿	尸水
透	之禾㇕丿
惠	一日厶心
府	广亻寸
父	八乂
耳	耳
搜	扌臼丨又
希	乂𠂇巾
患	中中心
尾	尸毛
播	扌釆田
岩	山石
逗	之一口䒑
賢	臣又貝
限	阝艮
帝	亠八冖巾
昌	日日
模	木艹日大
嫌	女禾禾彐
陶	阝勹午凵
苗	艹田
羽	习习
哩	口田土
稿	禾亠口冂口
棟	木木日
邦	丰阝
玲	王亼龴
驚	艹勹口攵馬
坑	土亠几
備	亻廿丿用
袋	亻弋衣
妖	女丿大
錦	金白巾
琳	王木木
乙	乙
伴	亻半
尊	八酉寸
霜	雨木目
沿	氵八口
伯	亻白
盜	氵欠皿
浩	氵牛口
剩	禾北刂
域	土戈口一
祖	示且
肺	月亠巾
附	阝亻寸
制	牛巾刂
玄	亠幺
置	四十目
豪	亠口冖豕
恆	心二𠂊冫
助	且力
幽	幺幺山
欣	斤欠
辣	辛木口
煤	火甘木
瓜	瓜
諸	言耂
慧	丰丰彐心
墨	田土火土
鮮	魚羊
鏡	金立日儿
蝦	虫尸二コ又
犬	犬
鵬	月月鳥
誠	言戊㇕
賀	力口貝
險	阝亼口口人人
飾	食𠂉巾
炎	火火
震	雨辰
鋒	金夂丰
遂	之八豕
軒	車干
控	扌穴工
覆	西行𠂉日夂
禁	木木示
盃	不皿
童	立田土
徵	行山一王攵
杯	木不
晴	日丰月
魂	二厶鬼
益	䒑八皿
庭	广廴丿士
肝	月干
濃	氵曲辰
坊	土方
晨	日辰
紀	糸巳
振	扌辰
割	宀丰口刂
敗	貝攵
消	氵小月
兆	儿⺍
楓	木風
隆	阝夂一生
撤	扌亠厶月攵
粥	弓米弓
馨	士尸殳禾日
誤	言口乚廾
滑	氵骨
暖	日爪一𠂇又
己	巳
止	止
柱	木丶王
塗	氵亼木土
妻	一尹女
盾	𠂆十目
奔	大十艹
潤	氵門王
政	一止攵
刺	木冂刂
冠	冖一兀寸
蓮	艹之車
獸	口口田一口犬
婚	女氏日
攝	扌耳耳耳
閣	門夂口
敬	艹勹口攵
潮	氵十日十月
昂	日匕卩
飽	食勹巳
邪	牙阝
促	亻足
葛	艹日勹亡
串	中中
桑	又又又木
苑	艹夕卩
迎	之匕卩
弓	弓
碎	石亠人人十
余	亼木
承	㇕水三
迪	之由
烏	烏
臣	臣
勤	艹口丰力
蒸	艹㇕水一火
凌	冫土儿夂
辛	辛
旗	方𠂉甘廾
妙	女小丿
始	女厶口
符	竹亻寸
倫	亻亼冊
亭	亠口冖丁
云	二厶
研	石一廾
俗	亻八人口
啓	户攵口
霧	雨予丿夂力
珍	王人彡
卓	卜日十
積	禾丰貝
捧	扌丰キ
鳴	口鳥
簡	竹門日
罰	四言刂
晃	日小兀
斜	亼木冫十
預	予頁
尤	尤
洲	氵⺍川
乎	爪丁
湘	氵木目
罷	四厶月匕匕
軸	車由
翔	羊习习
異	田艹廾
枝	木十又
逸	之召儿
鴨	甲鳥
染	氵九木
餅	食䒑廾
粘	米卜口
藝	艹土儿土丸二厶
鴻	氵工鳥
腎	臣又月
撲	扌业半大
晶	日日日
勾	勹厶
戒	戈廾
桂	木土土
朗	丶艮月
堵	土耂
荷	艹亻丁口
畝	亠田𠂊丶
私	禾厶
擊	車凵殳手
貸	亻弋貝
傾	亻匕頁
鼓	士口䒑十又
霞	雨尸二コ又
皇	白王
企	人止
互	一彑
柏	木白
騰	月半馬
焦	隹火
潔	氵丰刀糸
盟	日月皿
延	廴丿止
柔	予丿木
資	冫欠貝
粒	米立
嶺	山亼龴頁
盆	八刀皿
檢	木亼口口人人
護	言艹隹又
眉	尸目
傘	人人人人人十
碧	王白石
籍	竹耒廿日
勿	勿
汁	氵十
冊	冊
銘	金夕口
浴	氵八人口
翼	习习田艹廾
哲	扌斤口
菌	艹圍禾
敵	亠八冂十口攵
桶	木龴用
抹	扌一木
判	半刂
寵	宀龍
紋	糸文
弟	弋弓
衰	衣口一
叔	上小又
肩	户月
殿	尸艹廾殳
番	釆田
旭	九日
訪	言方
勢	土儿土丸力
蒐	艹鬼
航	舟亠几
萊	艹木人人
旅	方𠂉亻
鷹	广亻隹鳥
赤	土火
技	扌十又
韻	立日口貝
摘	扌亠八冂十口
翠	习习亠人人十
孝	耂子
移	禾夕夕
搖	扌䏑午凵
畢	甲艹二
予	予
岳	丘山
融	一口冂八丁虫
棋	木甘廾
採	扌爪木
扶	扌夫
介	亻八
渡	氵广廿又
芯	艹心
奪	大隹寸
采	爪木
乳	爪子乚
