人	人入
一夕刂鳥	䴕鴷
工貝	贡貢
工人人見	觋覡
工人人鳥	鹀鵐
土口貝	埙塤
土火卜貝	赪赬
土烏	坞塢
士冖車殳	毂轂
耳中一貝	聩聵
丰貝力	𪟝勣
丰力攵貝	赘贅
丰力攵魚	鳌鰲
丰力攵馬	骜驁
丰月鳥	䴖鶄
王小貝	琐瑣
王牛儿貝	瓒瓚
王爪𠂇又	瑗瑷
王冖車	珲琿
扌士口頁	撷擷
扌貝貝女	撄攖
扌金欠	揿撳
扌鳥山	捣搗
扌母貝	掼摜
廿口丰見	觐覲
艹一廾刂	荆荊
廿日鳥	鹊鵲
廿乚貝力	勚勩
甘冂土見	觏覯
十艹貝	贲賁
十口鳥	鸪鴣
十口月鳥	鹕鶘
十又頁	𫠆頍
十冖子鳥	鹁鵓
艹戊貝	蒇蕆
艹止癶頁	𬞟蘋
艹中一貝	蒉蕢
艹口隹鳥	鹳鸛
艹魚刂	蓟薊
艹魚羊	藓蘚
艹予頁	蓣蕷
艹糸工	荭葒
甫鳥	𬷕鵏
木西貝	槚檟
木卜貝	桢楨
木貝貝女	樱櫻
木人人	枞來
木言耂	槠櫧
雨言勹亡	霭靄
木糸彑豕	橼櫞
石丰貝	碛磧
一火小鳥	鹩鷯
大申鳥	鹌鵪
而鳥	鸸鴯
龍耳	聋聾
龍艹廾	龚龔
豕十艹貝	豮豶
臣丰貝	赜賾
車丰一大	辏輳
車丁口	轲軻
車大	轪軑
車兀	𫐄軏
車厂卩	轭軛
車亠口小	辌輬
車一口田	辐輻
車予丿木	𫐓輮
車手丶	轶軼
車臼儿	𫐐輗
車人彡	轸軫
車斤	斩斬
車斤木	椠槧
車舟	辀輈
車氏	𬨂軝
車夂口	辂輅
車八酉	𬨎輶
車又又又	辍輟
匚車九	匦匭
匚日女鳥	𬸘鶠
匚乂鳥	鸥鴎
弋鳥	鸢鳶
卜口見	觇覘
卜圍羊工	鹾鹺
虎业見	觑覷
止癶鬼十	颦顰
止匕魚	𫚖鮆
齒大丁口	𬺈齮
齒丿冂厶	龋齲
齒足	龊齪
齒且	龃齟
齒𠂉乙	龁齕
齒臼儿	𫠜齯
齒人刂	𬹼齘
齒斤	龂齗
齒匕	龀齔
齒艮	龈齦
齒召	龆齠
口丂鳥	鸮鴞
口工貝	唝嗊
足夂口鳥	鹭鷺
口口頁口	嚣囂
口口丂鳥	鹗鶚
口小貝	唢嗩
口貝貝女	嘤嚶
口冂人	呐吶
口貝力	勋勛
口烏	呜嗚
日冂厶頁	颙顒
日勹亡鳥	鹖鶡
日亠小頁	颢顥
巾⺍攵魚	鳖鱉
目犬鳥	䴗鶪
四革馬	羁羈
山大車	𪨶輋
山見	岘峴
山金欠	嵚嶔
貝用口	赒賙
貝貝午凵	罂罌
貝辰	赈賑
貝冖二目	赗賵
貝貝貝	赑贔
貝丿之	贬貶
貝人示	赊賒
貝𠂊八言	赡贍
貝厶口	贻貽
貝亠凵人	赅賅
貝貝女鳥	鹦鸚
骨鳥	鹘鶻
牛儿貝阝	酂酇
廴亻土頁	颋頲
竹丰貝	箦簀
竹木𠂊貝	籁籟
禾火鳥	鹙鶖
舌鳥	鸹鴰
竹中一貝	篑簣
竹口貝	筼篔
隹言隹	雠讎
鬼十鳥	鹎鵯
鬼一人人	魉魎
亼口頁	颌頜
亼口鳥	鸽鴿
